nom;gardiens;défenseurs;milieux;attaquants
Qatar;["Saad Al Sheeb", "Yousef Hassan", "Meshaal Barsham"];["Pedro Miguel", "Abdelkarim Hassan", "Tarek Salman", "Musab Kheder", "Homam Ahmed", "Bassam Al-Rawi", "Boualem Khoukhi", "Jassem Gaber"];["Mohammed Waad", "Abdulaziz Hatem", "Ali Assadalla", "Karim Boudiaf", "Ismaeel Mohammad", "Salem Al-Hajri", "Assim Madibo", "Mostafa Mashaal"];["Ahmed Alaaeldin", "Mohammed Muntari", "Hassan Al Haydos", "Akram Afif", "Khalid Muneer", "Almoez Ali", "Naif Al-Hadhrami"]
Equateur;["Hernán Galíndez", "Moisés Ramírez", "Alexander Domínguez"];["Félix Torres", "Piero Hincapié", "Robert Arboleda", "William Pacho", "Pervis Estupiñán", "Xavier Arreaga", "Ángelo Preciado", "Diego Palacios", "Jackson Porozo"];["José Cifuentes", "Carlos Gruezo", "Ayrton Preciado", "Romario Ibarra", "Angel Mena", "Jeremy Sarmiento", "Gonzalo Plata", "Jhegson Méndez", "Alan Franco", "Moisés Caicedo"];["Michael Estrada", "Enner Valencia", "Djorkaeff Reasco", "Kevin Rodríguez"]
Sénégal;["Seny Dieng", "Alfred Gomis", "Édouard Mendy"];["Fodé Ballo-Touré", "Pape Abou Cissé", "Abdou Diallo", "Ismail Jakobs", "Kalidou Koulibaly", "Formose Mendy", "Moussa Ndiaye", "Youssouf Sabaly"];["Pathé Ciss", "Krépin Diatta", "Idrissa Gueye", "Pape Gueye", "Cheikhou Kouyaté", "Nampalys Mendy", "Mamadou Loum N'Diaye", "Moustapha Name", "Pape Matar Sarr"];["Boulaye Dia", "Famara Diédhiou", "Bamba Dieng", "Nicolas Jackson", "Iliman Ndiaye", "Ismaïla Sarr"]
Pays-Bas;["Remko Pasveer", "Justin Bijlow", "Andries Noppert"];["Jurriën Timber", "Matthijs de Ligt", "Virgil van Dijk", "Nathan Aké", "Stefan de Vrij", "Tyrell Malacia", "Daley Blind", "Denzel Dumfries", "Jeremie Frimpong"];["Steven Berghuis", "Davy Klaassen", "Marten de Roon", "Teun Koopmeiners", "Frenkie de Jong", "Kenneth Taylor", "Xavi Simons"];["Steven Bergwijn", "Cody Gakpo", "Luuk de Jong", "Memphis Depay", "Noa Lang", "Vincent Janssen", "Wout Weghorst"]
Angleterre;["Jordan Pickford", "Nick Pope", "Aaron Ramsdale"];["Kyle Walker", "Luke Shaw", "John Stones", "Harry Maguire", "Kieran Trippier", "Eric Dier", "Conor Coady", "Trent Alexander-Arnold", "Ben White"];["Declan Rice", "Jordan Henderson", "Kalvin Phillips", "Mason Mount", "Phil Foden", "Jude Bellingham", "James Maddison", "Conor Gallagher"];["Jack Grealish", "Harry Kane", "Raheem Sterling", "Marcus Rashford", "Bukayo Saka", "Callum Wilson"]
Iran;["Alireza Beiranvand", "Payam Niazmand", "Amir Abedzadeh", "Hossein Hosseini"];["Sadegh Moharrami", "Ehsan Hajsafi", "Shojae Khalilzadeh", "Milad Mohammadi", "Morteza Pouraliganji", "Mohammad Kanani", "Rouzbeh Cheshmi", "Majid Hosseini", "Ramin Rezaeian", "Abolfazl Jalali"];["Saeid Ezatolahi", "Alireza Jahanbakhsh", "Vahid Amiri", "Saman Ghoddos", "Mehdi Torabi", "Ali Gholizadeh", "Ali Karimi", "Ahmad Noorollahi"];["Mehdi Taremi", "Karim Ansarifard", "Sardar Azmoun"]
Etats-Unis;["Matt Turner", "Ethan Horvath", "Sean Johnson"];["Sergiño Dest", "Walker Zimmerman", "Antonee Robinson", "Tim Ream", "Aaron Long", "Shaq Moore", "Cameron Carter-Vickers", "DeAndre Yedlin", "Joe Scally"];["Tyler Adams", "Yunus Musah", "Weston McKennie", "Luca de la Torre", "Cristian Roldan", "Kellyn Acosta"];["Giovanni Reyna", "Jesús Ferreira", "Christian Pulisic", "Brenden Aaronson", "Jordan Morris", "Haji Wright", "Timothy Weah", "Josh Sargent"]
Pays de Galles;["Wayne Hennessey", "Danny Ward", "Adam Davies"];["Chris Gunter", "Neco Williams", "Ben Davies", "Chris Mepham", "Joe Rodon", "Connor Roberts", "Ethan Ampadu", "Tom Lockyer", "Ben Cabango", "Rubin Colwill"];["Joe Allen", "Harry Wilson", "Aaron Ramsey", "Joe Morrell", "Jonathan Williams", "Sorba Thomas", "Dylan Levitt", "Matt Smith"];["Brennan Johnson", "Gareth Bale", "Kieffer Moore", "Mark Harris", "Daniel James"]
Argentine;["Franco Armani", "Gerónimo Rulli", "Emiliano Martínez"];["Juan Foyth", "Nicolás Tagliafico", "Gonzalo Montiel", "Germán Pezzella", "Marcos Acuña", "Cristian Romero", "Nicolás Otamendi", "Lisandro Martínez", "Nahuel Molina"];["Leandro Paredes", "Rodrigo De Paul", "Exequiel Palacios", "Papu Gómez", "Guido Rodríguez", "Alexis Mac Allister", "Enzo Fernández"];["Julián Álvarez", "Lionel Messi", "Ángel Di María", "Nicolás González", "Joaquín Correa", "Paulo Dybala", "Lautaro Martínez"]
Arabie saoudite;["Mohammed Al Rubaie", "Mohammed Al-Owais", "Nawaf Al-Aqidi"];["Sultan Al-Ghanam", "Abdullah Madu", "Abdulelah Al-Amri", "Ali Al-Bulaihi", "Mohammed Al-Breik", "Saud Abdulhamid", "Yasser al-Shahrani", "Hassan Al-Tambakti"];["Salman Al-Faraj", "Abdulellah Al-Malki", "Abdullah Otayf", "Ali Al-Hassan", "Sami Al-Najei", "Nawaf al-Abed", "Mohamed Kanno", "Nasser Al-Dawsari", "Riyadh Sharahili"];["Firas Al-Buraikan", "Salem al-Dossari", "Hattan Bahebri", "Abdulrahman Al-Aboud", "Saleh Al-Shehri", "Haitham Asiri"]
Mexique;["Alfredo Talavera", "Rodolfo Cota", "Guillermo Ochoa"];["Néstor Araujo", "César Montes", "Johan Vásquez", "Gerardo Arteaga", "Héctor Moreno", "Jorge Sánchez", "Jesús Gallardo", "Kevin Álvarez"];["Edson Álvarez", "Luis Romo", "Carlos Rodríguez", "Érick Gutiérrez", "Héctor Herrera", "Andrés Guardado", "Luis Chávez"];["Raúl Jiménez", "Alexis Vega", "Rogelio Funes Mori", "Orbelín Pineda", "Henry Martín", "Uriel Antuna", "Hirving Lozano", "Roberto Alvarado"]
Pologne;["Wojciech Szczęsny", "Łukasz Skorupski", "Kamil Grabara"];["Matty Cash", "Artur Jędrzejczyk", "Mateusz Wieteska", "Jan Bednarek", "Jakub Kiwior", "Kamil Glik", "Bartosz Bereszyński", "Robert Gumny"];["Krystian Bielik", "Damian Szymański", "Grzegorz Krychowiak", "Kamil Grosicki", "Jakub Kamiński", "Szymon Żurkowski", "Sebastian Szymański", "Piotr Zieliński", "Nicola Zalewski", "Przemysław Frankowski", "Michał Skóraś"];["Arkadiusz Milik", "Robert Lewandowski", "Karol Świderski", "Krzysztof Piątek"]
France;["Hugo Lloris", "Steve Mandanda", "Alphonse Areola"];["Benjamin Pavard", "Axel Disasi", "Raphaël Varane", "Jules Koundé", "William Saliba", "Dayot Upamecano", "Lucas Hernandez", "Théo Hernandez", "Ibrahima Konaté"];["Mattéo Guendouzi", "Aurélien Tchouaméni", "Youssouf Fofana", "Adrien Rabiot", "Jordan Veretout", "Eduardo Camavinga"];["Antoine Griezmann", "Olivier Giroud", "Kylian Mbappé", "Ousmane Dembélé", "Randal Kolo Muani", "Kingsley Coman", "Marcus Thuram", "Karim Benzema"]
