Ali Assadalla Qatar
Ismaeel Mohammad Qatar
Mostafa Mashaal Qatar
Naif Al-Hadhrami Qatar
Jhegson Méndez Équateur
Ehsan Hajsafi Iran
Shojae Khalilzadeh Iran
Mohammad Kanani Iran
Rouzbeh Cheshmi Iran
Abolfazl Jalali Iran
Ahmad Noorollahi Iran
Sultan Al-Ghanam Arabie_saoudite
Ali Al-Bulaihi Arabie_saoudite
Mohammed Al-Breik Arabie_saoudite
Hassan Al-Tambakti Arabie_saoudite
Abdulellah Al-Malki Arabie_saoudite
Abdullah Otayf Arabie_saoudite
Sami Al-Najei Arabie_saoudite
Firas Al-Buraikan Arabie_saoudite
Salem al-Dossari Arabie_saoudite
Abdulrahman Al-Aboud Arabie_saoudite
Mohamed Ali Ben Romdhane Tunisie
Ghailene Chaalali Tunisie
Taha Yassine Khenissi Tunisie
Roan Wilson Costa_Rica
Munir El Kajoui Maroc
Yahya Attiatallah Maroc
Abderrazak Hamed-Allah Maroc
Ez Abde Maroc
Vinícius Júnior Brésil
Jerome Ngom Mbekeli Cameroun
Pierre Kunde Cameroun
Souaibou Marou Cameroun
Lawrence Ati-Zigi Ghana
Daniel Afriyie Ghana
Maxi Gómez Uruguay
Kim Seung-gyu Corée_du_Sud
Song Bum-keun Corée_du_Sud
Jo Hyeon-woo Corée_du_Sud
Kwon Kyung-won Corée_du_Sud
Cho Yu-min Corée_du_Sud
Jung Woo-young Corée_du_Sud
Hwang In-beom Corée_du_Sud
Son Heung-min Corée_du_Sud
